remoteip,date3,time,date,requests,req_protocol,req_method,status,Response_time,bytes_sent,referal,user_agent,virtual_host,serveid,error_level,error_message
localhost1,01-01-2013,06:03:33,'2013-01-01 06:03:33',\GET /phpmyadmin/sql.php?db=WS,HTTP/1.1,GET,200,151363,15955,www.facebook.com,Opera/9.80,virtualhost1,server1,,
localhost1,01-01-2013,06:09:33,'2013-01-01 06:09:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,774,6759,www.facebook.com,Opera/9.80,virtualhost1,server1,,
localhost1,01-01-2013,06:15:33,'2013-01-01 06:15:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,404,9527,283,www.facebook.com,Mozilla/5.0,virtualhost2,server1,error,File does not exist: /var/www/favicon.php
localhost2,01-01-2013,06:21:33,'2013-01-01 06:21:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,916,200,www.google.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,06:27:33,'2013-01-01 06:27:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,690,629,www.google.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,06:33:33,'2013-01-01 06:33:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,289,6747,www.yahoo.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,06:39:33,'2013-01-01 06:39:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,403,6026,283,www.timesofindia.com,Crome,virtualhost2,server1,error,client denied by server configuration: /var/www/fa
localhost4,01-01-2013,06:45:33,'2013-01-01 06:45:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,794,200,www.flipkart.com,Crome,virtualhost2,server1,,
localhost5,01-01-2013,06:51:33,'2013-01-01 06:51:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,414,705,629,www.ebay.com,Crome,virtualhost1,server1,error,Request URI Too Long: /var/www/testphp.php
localhost5,01-01-2013,06:57:33,'2013-01-01 06:57:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,400,1126,6747,www.amazon.com,IE8,virtualhost1,server1,error,Bad Request
localhost2,01-01-2013,07:03:33,'2013-01-01 07:03:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,8738,283,www.4shared.com,IE8,virtualhost2,server1,,
localhost4,01-01-2013,07:09:33,'2013-01-01 07:09:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,707,200,www.4shared.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,07:15:33,'2013-01-01 07:15:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,401,398,625,www.facebook.com,Crome,virtualhost2,server1,error,Authorization Required: /var/www/favcon.php
localhost1,01-01-2013,07:27:33,'2013-01-01 07:27:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,6343,283,www.google.com,Crome,virtualhost2,server1,,
localhost3,01-01-2013,07:33:33,'2013-01-01 07:33:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,239,628,www.google.com,IE8,virtualhost1,server1,,
localhost4,01-01-2013,07:39:33,'2013-01-01 07:39:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,404,1268,6752,www.yahoo.com,Mozilla/5.0,virtualhost1,server1,error,File does not exist: /var/www/favicon.php
localhost5,01-01-2013,07:45:33,'2013-01-01 07:45:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,240,200,www.timesofindia.com,Mozilla/5.0,virtualhost1,server1,,
localhost2,01-01-2013,07:51:33,'2013-01-01 07:51:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,14247,283,www.flipkart.com,Mozilla/5.0,virtualhost1,server1,,
localhost4,01-01-2013,07:57:33,'2013-01-01 07:57:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,664,629,www.ebay.com,Crome,virtualhost1,server1,,
localhost1,01-01-2013,08:03:33,'2013-01-01 08:03:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,403,519,6745,www.amazon.com,Crome,virtualhost2,server1,error,client denied by server configuration: /var/www/fa
localhost1,01-01-2013,08:09:33,'2013-01-01 08:09:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,6529,283,www.4shared.com,Crome,virtualhost2,server1,,
localhost1,01-01-2013,08:15:33,'2013-01-01 08:15:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,500,200,www.4shared.com,IE8,virtualhost1,server1,,
localhost1,01-01-2013,08:21:33,'2013-01-01 08:21:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,258,629,www.4shared.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,08:27:33,'2013-01-01 08:27:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,1218,6744,www.4shared.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,08:33:33,'2013-01-01 08:33:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,7126,283,www.4shared.com,Opera/9.80,virtualhost2,server1,,
localhost2,01-01-2013,08:39:33,'2013-01-01 08:39:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,414,244,200,www.facebook.com,Opera/9.80,virtualhost2,server1,error,Request URI Too Long: /var/www/testphp.php
localhost4,01-01-2013,08:45:33,'2013-01-01 08:45:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,201,629,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost2,01-01-2013,08:51:33,'2013-01-01 08:51:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,1024,6744,www.google.com,Mozilla/5.0,virtualhost2,server1,,
localhost2,01-01-2013,09:03:33,'2013-01-01 09:03:33',\GET /phpmyadmin/sql.php?db=WS,HTTP/1.1,GET,200,156728,15992,www.yahoo.com,Mozilla/5.0,virtualhost2,server1,,
localhost2,01-01-2013,09:09:33,'2013-01-01 09:09:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,400,619,200,www.timesofindia.com,Mozilla/5.0,virtualhost1,server1,error,Bad Request
localhost2,01-01-2013,09:15:33,'2013-01-01 09:15:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,326,6750,www.timesofindia.com,Mozilla/5.0,virtualhost2,server1,,
localhost2,01-01-2013,09:21:33,'2013-01-01 09:21:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,2896875,283,www.flipkart.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,09:27:33,'2013-01-01 09:27:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,401,731,200,www.flipkart.com,Crome,virtualhost2,server1,error,Authorization Required: /var/www/favcon.php
localhost1,01-01-2013,09:33:33,'2013-01-01 09:33:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,267,628,www.ebay.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,09:39:33,'2013-01-01 09:39:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,365,6753,www.ebay.com,Opera/9.80,virtualhost2,server1,,
