remoteip,date,date1,time,destination,req_method,status,distance,delay,user_agent,referal,requests,error_level,Response_time,error_message
127.0.0.1,1010530,30-11-2012,13:46:57,HTTP/1.1,GET,200,49837,1771,Mozilla/5.0 (X11,facebook,"\POST /phpmyadmin/tbl_row_acti""",error,85386,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 8
127.0.0.1,1010540,30-11-2012,13:46:58,HTTP/1.1,GET,304,263,212,Mozilla/5.0 (X11,facebook,"\GET /phpmyadmin/sql.php?db=ab""",warning,200252,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010600,30-11-2012,13:46:58,HTTP/1.1,GET,304,159,210,Mozilla/5.0 (X11,facebook,"\POST /phpmyadmin/tbl_row_acti""",warning,46116,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 8
127.0.0.1,1010600,30-11-2012,13:46:58,HTTP/1.1,GET,304,368,212,Mozilla/5.0 (X11,facebook,"\POST /phpmyadmin/tbl_row_acti""",warning,132576,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 9
127.0.0.1,1010605,30-11-2012,13:46:58,HTTP/1.1,GET,200,60133,2217,Mozilla/5.0 (X11,facebook,"\POST /phpmyadmin/tbl_row_acti""",warning,131830,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010610,30-11-2012,13:46:58,HTTP/1.1,GET,200,164285,15682,Mozilla/5.0 (X11,facebook,"\GET /phpmyadmin/sql.php?db=ab""",warning,542,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 9
127.0.0.1,1010615,30-11-2012,13:46:58,HTTP/1.1,GET,200,178921,1742,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,1762,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 10
127.0.0.1,1010615,30-11-2012,13:46:58,HTTP/1.1,GET,304,192,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,1228,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010615,30-11-2012,13:46:58,HTTP/1.1,GET,304,127,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,784,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 10
127.0.0.1,1010615,30-11-2012,13:46:58,HTTP/1.1,GET,304,320,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,389,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 11
