remoteip,total_access,total_kb,cpu_load,uptime,reqpersec,bytespersec,bytesperrec,busy,idle,timestamp1,date,b,i,w,r,s,g,i,d,k,l,presentstatus,Downtime
localhost,638,791,0.739348,399,1.599,2030.04,1269.57,4,9,1356856400,1010530,2,8,1,0,0,0,0,0,0,0,0,10
localhost,641,792,0.738155,401,1.5985,2022.46,1265.22,4,9,1356856400,1010540,3,7,0,0,0,0,0,0,0,0,0,10
localhost,635,790,0.740554,397,1.5995,2037.68,1273.95,4,9,1356856398,1010600,3,7,0,2,0,0,0,0,0,0,0,10
localhost,628,787,0.75,392,1.60204,2055.84,1283.26,8,5,1356856393,1010600,3,7,0,0,2,0,3,0,0,0,0,10
localhost,631,788,0.744304,395,1.59747,2042.82,1278.78,4,9,1356856396,1010605,3,7,0,0,0,0,0,0,0,0,0,10
localhost,625,786,0.753846,390,1.60256,2063.75,1287.78,8,5,1356856391,1010610,3,7,0,0,0,0,0,4,0,0,0,10
localhost,621,586,0.721649,388,1.60052,1546.56,966.287,8,5,1356856389,1010615,3,7,0,0,5,0,5,0,2,0,0,10
localhost,614,386,0.691906,383,1.60313,1032.02,643.752,8,5,1356856384,1010615,3,6,4,0,0,1,0,3,0,5,0,10
localhost,617,387,0.686528,386,1.59845,1026.65,642.282,8,5,1356856386,1010615,3,6,0,0,0,1,0,0,0,0,0,10
localhost,610,384,0.692913,381,1.60105,1032.06,644.616,8,5,1356856382,1010615,3,6,0,0,0,1,0,0,0,0,0,10
localhost,605,374,0.679894,378,1.60053,1013.16,633.018,8,5,1356856379,1010620,3,6,4,0,0,1,0,0,0,0,0,10
localhost,603,373,0.679894,378,1.59524,1010.46,633.42,8,5,1356856377,1010620,3,6,0,0,0,1,0,0,0,0,0,10
localhost,586,368,0.693767,369,1.58808,1021.22,643.058,4,9,1356856370,1010625,3,6,5,0,0,1,0,0,0,0,0,10
localhost,589,369,0.690027,371,1.5876,1018.48,641.521,4,9,1356856370,1010625,3,6,0,0,0,1,0,0,0,0,0,10
localhost,591,370,0.690027,371,1.59299,1021.24,641.083,4,9,1356856374,1010625,3,6,0,0,0,1,0,3,0,0,0,10
localhost,595,372,0.680851,376,1.58245,1013.11,640.215,4,9,1356856377,1010625,3,6,0,0,0,1,0,0,0,0,0,10
localhost,536,332,0.575581,344,1.55814,988.279,634.269,7,6,1356856343,1010630,3,6,4,0,2,1,0,0,0,0,0,10
localhost,533,331,0.576023,342,1.55848,991.064,635.917,7,6,1356856342,1010630,3,6,0,0,0,1,0,0,0,0,0,10
localhost,524,326,0.532353,340,1.54118,981.835,637.069,5,9,1356856340,1010630,3,7,0,0,0,0,0,3,1,0,0,10
localhost,519,325,0.537092,337,1.54006,987.537,641.233,8,7,1356856338,1010630,3,6,0,0,0,1,0,0,0,0,1,0
localhost,516,323,0.537313,335,1.5403,987.319,640.992,8,7,1356856336,1010630,3,6,0,0,0,1,3,0,0,0,1,0
